iter	RMSE
0	9.310774436
1	8.891740853
2	8.497110628
3	8.125254504
4	7.768479727
5	7.434709072
6	7.119922339
7	6.82101243
8	6.543913129
9	6.27571098
10	6.015214463
11	5.776120525
12	5.547355564
13	5.329952068
14	5.125373139
15	4.936945555
16	4.752365165
17	4.581501543
18	4.420660947
19	4.267443539
20	4.124418131
21	3.988426069
22	3.863063002
23	3.746113332
24	3.633636581
25	3.52721544
26	3.42936034
27	3.335623599
28	3.251529149
29	3.173699366
30	3.096797933
31	3.025757204
32	2.961988786
33	2.901525268
34	2.843398911
35	2.789181597
36	2.738639303
37	2.691508092
38	2.648610578
39	2.609809596
40	2.571721785
41	2.536092284
42	2.502763336
43	2.471873611
44	2.442424607
45	2.417443833
46	2.390360146
47	2.366564641
48	2.3437618
49	2.322983108
50	2.30309294
51	2.28552632
52	2.266706369
53	2.25206871
54	2.238215328
55	2.223934536
56	2.210552703
57	2.195979162
58	2.183548289
59	2.172268549
60	2.16158416
61	2.151029976
62	2.141573987
63	2.132829522
64	2.123337021
65	2.11554285
66	2.107380629
67	2.100327067
68	2.094308287
69	2.088120313
70	2.08239157
71	2.076544649
72	2.071899213
73	2.066464315
74	2.06144481
75	2.057085974
76	2.052689564
77	2.048070791
78	2.043486287
79	2.03954831
80	2.036103261
81	2.032416492
82	2.029264622
83	2.025616514
84	2.021974974
85	2.019017644
86	2.016328152
87	2.013089653
88	2.01038782
89	2.007568254
90	2.005323021
91	2.002883464
92	2.000046307
93	1.997571235
94	1.995185971
95	1.993605707
96	1.991658771
97	1.989663574
98	1.987723757
99	1.985910001
100	1.984493175
101	1.982805679
102	1.981364433
103	1.97957773
104	1.977627185
105	1.975946606
106	1.974364786
107	1.973028932
108	1.971118715
109	1.969840469
110	1.9685986
111	1.967501962
112	1.966253972
113	1.96514563
114	1.964055968
115	1.963004049
116	1.961824239
117	1.960425016
118	1.959391364
119	1.95825089
120	1.956835485
121	1.956020002
122	1.954608074
123	1.953784097
124	1.952205752
125	1.950932465
126	1.949769085
127	1.948613408
128	1.947770763
129	1.946953364
130	1.94627566
131	1.945313267
132	1.944301031
133	1.943267347
134	1.942571388
135	1.941791577
136	1.941055559
137	1.940475988
138	1.939605632
139	1.939040307
140	1.938364633
141	1.937676573
142	1.93655655
143	1.93568872
144	1.935177257
145	1.93457006
146	1.934067121
147	1.933318921
148	1.932622421
149	1.932077219
150	1.931207827
151	1.930514723
152	1.929960588
153	1.929329826
154	1.928807228
155	1.927866507
156	1.927274698
157	1.926668457
158	1.926179381
159	1.925674712
160	1.925139721
161	1.924764631
162	1.924164169
163	1.923737409
164	1.923158507
165	1.922556548
166	1.921646202
167	1.921242316
168	1.920552486
169	1.920107817
170	1.919675914
171	1.919211496
172	1.918872147
173	1.91845544
174	1.917926164
175	1.917540721
176	1.917044538
177	1.916481217
178	1.916036726
179	1.91558085
180	1.915245995
181	1.914674092
182	1.914356038
183	1.913853501
184	1.913557934
185	1.913147293
186	1.912787276
187	1.912472882
188	1.911782886
189	1.911315136
190	1.910984475
191	1.910430466
192	1.910079326
193	1.909579413
194	1.90912249
195	1.908730489
196	1.908477706
197	1.908147835
198	1.90784633
199	1.907450422
200	1.90710528
201	1.906678172
202	1.906263019
203	1.905920611
204	1.905557452
205	1.905237079
206	1.904891063
207	1.904357395
208	1.904071009
209	1.903734176
210	1.903456562
211	1.903190601
212	1.902713021
213	1.902409692
214	1.902142043
215	1.901835105
216	1.901612959
217	1.901312177
218	1.900897453
219	1.900647224
220	1.900267108
221	1.90001118
222	1.899589829
223	1.899245599
224	1.898913723
225	1.898551401
226	1.898286947
227	1.897902965
228	1.897593166
229	1.897311226
230	1.897003298
231	1.896733433
232	1.896497621
233	1.896238926
234	1.895968929
235	1.895747491
236	1.895407108
237	1.895235391
238	1.894925999
239	1.894498093
240	1.894178647
241	1.893948867
242	1.893691522
243	1.893490602
244	1.89319942
245	1.892932405
246	1.892587276
247	1.892308153
248	1.891994672
249	1.891755197
250	1.891495478
251	1.891248978
252	1.890998132
253	1.890790517
254	1.890567623
255	1.890236609
256	1.889951812
257	1.889670805
258	1.889388773
259	1.889193389
260	1.888938225
261	1.888680475
262	1.888466045
263	1.888289136
264	1.888046629
265	1.887843318
266	1.887600552
267	1.887335237
268	1.887140787
269	1.886917856
270	1.886747777
271	1.88648044
272	1.886336855
273	1.886150569
274	1.885898977
275	1.885657782
276	1.885404192
277	1.88513976
278	1.884935388
279	1.884704548
280	1.884446826
281	1.884174393
282	1.88393891
283	1.883719456
284	1.883431843
285	1.883304104
286	1.883094484
287	1.882831154
288	1.88258751
289	1.882368113
290	1.882187761
291	1.881967294
292	1.881831915
293	1.881574113
294	1.881346939
295	1.881062695
296	1.880907386
297	1.88074603
298	1.88054533
299	1.880342559
300	1.880121756
301	1.879922878
302	1.879713712
303	1.879531485
304	1.879384402
305	1.879226921
306	1.878968361
307	1.87876067
308	1.878559788
309	1.878332876
310	1.878217987
311	1.878031245
312	1.877818365
313	1.877624287
314	1.877467785
315	1.877293499
316	1.877079176
317	1.876711886
318	1.876588603
319	1.876393215
320	1.876153625
321	1.87586807
322	1.875675411
323	1.875387871
324	1.875157492
325	1.874850618
326	1.874660815
327	1.874327565
328	1.874158679
329	1.873930398
330	1.873748203
331	1.873458323
332	1.873262421
333	1.87301492
334	1.872819698
335	1.872668647
336	1.87247455
337	1.872309732
338	1.872062498
339	1.871822122
340	1.871603832
341	1.87138495
342	1.871234194
343	1.871062305
344	1.87084081
345	1.870617233
