iter	Passed	Remaining
0	88	87982
1	113	56507
2	139	46282
3	162	40498
4	186	37172
5	211	34993
6	234	33294
7	258	32068
8	282	31077
9	307	30416
10	332	29864
11	358	29497
12	386	29311
13	412	29039
14	436	28655
15	460	28333
16	485	28064
17	509	27807
18	535	27626
19	560	27460
20	585	27281
21	609	27098
22	633	26926
23	659	26808
24	684	26711
25	708	26559
26	734	26471
27	763	26489
28	788	26391
29	812	26283
30	836	26147
31	861	26061
32	886	25987
33	912	25911
34	936	25823
35	960	25733
36	985	25643
37	1011	25599
38	1035	25523
39	1058	25411
40	1082	25329
41	1108	25282
42	1133	25216
43	1158	25163
44	1182	25091
45	1205	24996
46	1229	24936
47	1255	24893
48	1280	24843
49	1308	24868
50	1341	24956
51	1367	24937
52	1395	24939
53	1422	24921
54	1448	24881
55	1516	25565
56	1543	25537
57	1570	25504
58	1596	25467
59	1624	25457
60	1654	25464
61	1685	25500
62	1715	25520
63	1745	25526
64	1776	25555
65	1806	25564
66	1836	25574
67	1865	25567
68	1892	25533
69	1921	25522
70	1948	25495
71	1977	25482
72	2004	25449
73	2031	25420
74	2058	25390
75	2084	25348
76	2111	25308
77	2136	25258
78	2163	25221
79	2188	25168
80	2213	25110
81	2237	25050
82	2260	24978
83	2285	24919
84	2308	24855
85	2333	24800
86	2356	24730
87	2382	24689
88	2408	24653
89	2432	24594
90	2455	24523
91	2480	24483
92	2506	24445
93	2532	24405
94	2557	24363
95	2581	24307
96	2607	24273
97	2632	24229
98	2656	24178
99	2680	24121
100	2705	24083
101	2733	24063
102	2755	24001
103	2780	23953
104	2805	23909
105	2830	23871
106	2853	23816
107	2877	23766
108	2903	23730
109	2927	23687
110	2951	23640
111	2975	23590
112	3000	23549
113	3023	23501
114	3047	23451
115	3071	23407
116	3095	23362
117	3119	23320
118	3144	23276
119	3169	23242
120	3195	23212
121	3218	23161
122	3242	23122
123	3267	23080
124	3294	23058
125	3317	23012
126	3343	22981
127	3370	22963
128	3393	22910
129	3417	22870
130	3441	22829
131	3465	22786
132	3491	22759
133	3516	22727
134	3540	22688
135	3565	22652
136	3589	22610
137	3612	22565
138	3636	22524
139	3659	22477
140	3683	22437
141	3708	22405
142	3734	22382
143	3759	22345
144	3781	22300
145	3805	22260
146	3829	22220
147	3854	22190
148	3878	22153
149	3900	22105
150	3928	22087
151	3952	22052
152	3974	22004
153	4000	21975
154	4024	21938
155	4049	21906
156	4073	21874
157	4098	21839
158	4120	21792
159	4145	21763
160	4177	21767
161	4215	21807
162	4253	21840
163	4286	21852
164	4322	21876
165	4354	21879
166	4391	21905
167	4415	21867
168	4443	21849
169	4476	21858
170	4506	21846
171	4532	21818
172	4555	21778
173	4581	21750
174	4613	21748
175	4646	21754
176	4690	21808
177	4781	22081
178	4899	22471
179	4966	22626
180	5015	22695
