original_score,modified_score,improvement,action_type,action_magnitude,action_description,original_sleep,original_stress,original_exercise,original_screen,modified_sleep,modified_stress,modified_exercise,modified_screen
65.92681,65.960754,0.033943176,SLEEP_INCREASE,0.5,Increase sleep by 0.5h,6.8,2.0,1.0,3.8,7.3,2.0,1.0,3.8
65.92681,65.997665,0.07085419,SLEEP_INCREASE,1.0,Increase sleep by 1.0h,6.8,2.0,1.0,3.8,7.8,2.0,1.0,3.8
65.92681,66.22783,0.30101776,SLEEP_INCREASE,1.5,Increase sleep by 1.5h,6.8,2.0,1.0,3.8,8.3,2.0,1.0,3.8
65.92681,66.58892,0.6621094,SLEEP_INCREASE,2.0,Increase sleep by 2.0h,6.8,2.0,1.0,3.8,8.8,2.0,1.0,3.8
65.92681,66.666405,0.7395935,SLEEP_INCREASE,2.5,Increase sleep by 2.5h,6.8,2.0,1.0,3.8,9.3,2.0,1.0,3.8
65.92681,66.83818,0.9113693,SLEEP_INCREASE,3.0,Increase sleep by 3.0h,6.8,2.0,1.0,3.8,9.8,2.0,1.0,3.8
65.92681,65.92681,0.0,STRESS_DECREASE,-1.0,Reduce stress by 1 points,6.8,2.0,1.0,3.8,6.8,1.0,1.0,3.8
65.92681,65.92681,0.0,STRESS_DECREASE,-2.0,Reduce stress by 2 points,6.8,2.0,1.0,3.8,6.8,1.0,1.0,3.8
65.92681,65.92681,0.0,STRESS_DECREASE,-3.0,Reduce stress by 3 points,6.8,2.0,1.0,3.8,6.8,1.0,1.0,3.8
65.92681,65.92681,0.0,STRESS_DECREASE,-4.0,Reduce stress by 4 points,6.8,2.0,1.0,3.8,6.8,1.0,1.0,3.8
65.92681,65.92681,0.0,STRESS_DECREASE,-5.0,Reduce stress by 5 points,6.8,2.0,1.0,3.8,6.8,1.0,1.0,3.8
65.92681,65.968956,0.042144775,EXERCISE_INCREASE,1.0,Add 1 workout sessions/week,6.8,2.0,1.0,3.8,6.8,2.0,2.0,3.8
65.92681,66.15758,0.2307663,EXERCISE_INCREASE,2.0,Add 2 workout sessions/week,6.8,2.0,1.0,3.8,6.8,2.0,3.0,3.8
65.92681,66.15758,0.2307663,EXERCISE_INCREASE,3.0,Add 3 workout sessions/week,6.8,2.0,1.0,3.8,6.8,2.0,4.0,3.8
65.92681,66.15758,0.2307663,EXERCISE_INCREASE,4.0,Add 4 workout sessions/week,6.8,2.0,1.0,3.8,6.8,2.0,5.0,3.8
65.92681,65.9469,0.020088196,SCREEN_DECREASE,-1.0,Reduce screen time by 1h,6.8,2.0,1.0,3.8,6.8,2.0,1.0,2.8
65.92681,65.99782,0.071006775,SCREEN_DECREASE,-2.0,Reduce screen time by 2h,6.8,2.0,1.0,3.8,6.8,2.0,1.0,1.7999999999999998
65.92681,66.009026,0.082214355,SCREEN_DECREASE,-3.0,Reduce screen time by 3h,6.8,2.0,1.0,3.8,6.8,2.0,1.0,1.0
65.92681,66.009026,0.082214355,SCREEN_DECREASE,-4.0,Reduce screen time by 4h,6.8,2.0,1.0,3.8,6.8,2.0,1.0,1.0
65.92681,66.08735,0.16053772,CAFFEINE_ADJUST,-2.0,Adjust caffeine by 2 cups,6.8,2.0,1.0,3.8,6.8,2.0,1.0,3.8
