original_score,improvement,action_type,action_magnitude,baseline_value,is_critical,magnitude_x_baseline,original_sleep,original_stress,original_exercise,original_screen
65.92681,12.484239,SLEEP_INCREASE,0.5,6.8,0,3.4,6.8,2.0,1.0,3.8
65.92681,12.339125,SLEEP_INCREASE,1.0,6.8,0,6.8,6.8,2.0,1.0,3.8
65.92681,11.31813,SLEEP_INCREASE,1.5,6.8,0,10.2,6.8,2.0,1.0,3.8
65.92681,11.179181,SLEEP_INCREASE,2.0,6.8,0,13.6,6.8,2.0,1.0,3.8
65.92681,7.855097,SLEEP_INCREASE,2.5,6.8,0,17.0,6.8,2.0,1.0,3.8
65.92681,11.4763775,STRESS_DECREASE,-1.0,2.0,0,2.0,6.8,2.0,1.0,3.8
65.92681,11.720475,STRESS_DECREASE,-2.0,2.0,0,4.0,6.8,2.0,1.0,3.8
65.92681,12.334098,STRESS_DECREASE,-3.0,2.0,0,6.0,6.8,2.0,1.0,3.8
65.92681,12.315256,STRESS_DECREASE,-4.0,2.0,0,8.0,6.8,2.0,1.0,3.8
65.92681,73.422295,EXERCISE_INCREASE,1.0,1.0,1,1.0,6.8,2.0,1.0,3.8
65.92681,79.520134,EXERCISE_INCREASE,2.0,1.0,1,2.0,6.8,2.0,1.0,3.8
65.92681,74.38869,EXERCISE_INCREASE,3.0,1.0,1,3.0,6.8,2.0,1.0,3.8
65.92681,72.337875,EXERCISE_INCREASE,4.0,1.0,1,4.0,6.8,2.0,1.0,3.8
65.92681,12.100091,SCREEN_DECREASE,-1.0,3.8,0,3.8,6.8,2.0,1.0,3.8
65.92681,12.071969,SCREEN_DECREASE,-2.0,3.8,0,7.6,6.8,2.0,1.0,3.8
65.92681,11.5201645,SCREEN_DECREASE,-3.0,3.8,0,11.399999999999999,6.8,2.0,1.0,3.8
65.92681,11.947586,SCREEN_DECREASE,-4.0,3.8,0,15.2,6.8,2.0,1.0,3.8
79.028114,-3.2638574,SLEEP_INCREASE,0.5,8.8,0,4.4,8.8,9.0,2.0,6.6
79.028114,-3.1526685,SLEEP_INCREASE,1.0,8.8,0,8.8,8.8,9.0,2.0,6.6
79.028114,-2.92105,SLEEP_INCREASE,1.5,8.8,0,13.200000000000001,8.8,9.0,2.0,6.6
79.028114,-3.2481208,SLEEP_INCREASE,2.0,8.8,0,17.6,8.8,9.0,2.0,6.6
79.028114,-2.9976008,SLEEP_INCREASE,2.5,8.8,0,22.0,8.8,9.0,2.0,6.6
79.028114,-22.526379,STRESS_DECREASE,-1.0,9.0,1,9.0,8.8,9.0,2.0,6.6
79.028114,-35.058502,STRESS_DECREASE,-2.0,9.0,1,18.0,8.8,9.0,2.0,6.6
79.028114,-32.635998,STRESS_DECREASE,-3.0,9.0,1,27.0,8.8,9.0,2.0,6.6
79.028114,-21.293406,STRESS_DECREASE,-4.0,9.0,1,36.0,8.8,9.0,2.0,6.6
79.028114,-20.828838,EXERCISE_INCREASE,1.0,2.0,1,2.0,8.8,9.0,2.0,6.6
79.028114,-18.85815,EXERCISE_INCREASE,2.0,2.0,1,4.0,8.8,9.0,2.0,6.6
79.028114,-15.175065,EXERCISE_INCREASE,3.0,2.0,1,6.0,8.8,9.0,2.0,6.6
79.028114,-13.2575035,EXERCISE_INCREASE,4.0,2.0,1,8.0,8.8,9.0,2.0,6.6
79.028114,-3.376403,SCREEN_DECREASE,-1.0,6.6,0,6.6,8.8,9.0,2.0,6.6
79.028114,-2.9018419,SCREEN_DECREASE,-2.0,6.6,0,13.2,8.8,9.0,2.0,6.6
79.028114,-2.5963786,SCREEN_DECREASE,-3.0,6.6,0,19.799999999999997,8.8,9.0,2.0,6.6
79.028114,-1.9821811,SCREEN_DECREASE,-4.0,6.6,0,26.4,8.8,9.0,2.0,6.6
57.14282,10.73249,SLEEP_INCREASE,0.5,8.2,0,4.1,8.2,4.0,0.0,9.0
57.14282,9.61005,SLEEP_INCREASE,1.0,8.2,0,8.2,8.2,4.0,0.0,9.0
57.14282,8.354717,SLEEP_INCREASE,1.5,8.2,0,12.299999999999999,8.2,4.0,0.0,9.0
57.14282,8.236697,SLEEP_INCREASE,2.0,8.2,0,16.4,8.2,4.0,0.0,9.0
57.14282,8.702958,SLEEP_INCREASE,2.5,8.2,0,20.5,8.2,4.0,0.0,9.0
57.14282,16.594063,STRESS_DECREASE,-1.0,4.0,0,4.0,8.2,4.0,0.0,9.0
57.14282,16.5021,STRESS_DECREASE,-2.0,4.0,0,8.0,8.2,4.0,0.0,9.0
57.14282,16.469069,STRESS_DECREASE,-3.0,4.0,0,12.0,8.2,4.0,0.0,9.0
57.14282,15.018883,STRESS_DECREASE,-4.0,4.0,0,16.0,8.2,4.0,0.0,9.0
57.14282,74.27494,EXERCISE_INCREASE,1.0,0.0,1,0.0,8.2,4.0,0.0,9.0
57.14282,76.702156,EXERCISE_INCREASE,2.0,0.0,1,0.0,8.2,4.0,0.0,9.0
57.14282,72.537605,EXERCISE_INCREASE,3.0,0.0,1,0.0,8.2,4.0,0.0,9.0
57.14282,68.65006,EXERCISE_INCREASE,4.0,0.0,1,0.0,8.2,4.0,0.0,9.0
57.14282,66.68745,SCREEN_DECREASE,-1.0,9.0,1,9.0,8.2,4.0,0.0,9.0
57.14282,60.50962,SCREEN_DECREASE,-2.0,9.0,1,18.0,8.2,4.0,0.0,9.0
57.14282,62.46708,SCREEN_DECREASE,-3.0,9.0,1,27.0,8.2,4.0,0.0,9.0
57.14282,61.402092,SCREEN_DECREASE,-4.0,9.0,1,36.0,8.2,4.0,0.0,9.0
48.487637,21.674187,SLEEP_INCREASE,0.5,5.4,1,2.7,5.4,7.0,2.0,9.7
48.487637,19.726706,SLEEP_INCREASE,1.0,5.4,1,5.4,5.4,7.0,2.0,9.7
48.487637,22.17672,SLEEP_INCREASE,1.5,5.4,1,8.100000000000001,5.4,7.0,2.0,9.7
48.487637,16.296673,SLEEP_INCREASE,2.0,5.4,1,10.8,5.4,7.0,2.0,9.7
48.487637,19.638988,SLEEP_INCREASE,2.5,5.4,1,13.5,5.4,7.0,2.0,9.7
48.487637,32.26243,STRESS_DECREASE,-1.0,7.0,1,7.0,5.4,7.0,2.0,9.7
48.487637,59.96869,STRESS_DECREASE,-2.0,7.0,1,14.0,5.4,7.0,2.0,9.7
48.487637,114.180275,STRESS_DECREASE,-3.0,7.0,1,21.0,5.4,7.0,2.0,9.7
48.487637,147.33647,STRESS_DECREASE,-4.0,7.0,1,28.0,5.4,7.0,2.0,9.7
48.487637,19.72786,EXERCISE_INCREASE,1.0,2.0,1,2.0,5.4,7.0,2.0,9.7
48.487637,19.838266,EXERCISE_INCREASE,2.0,2.0,1,4.0,5.4,7.0,2.0,9.7
48.487637,20.2955,EXERCISE_INCREASE,3.0,2.0,1,6.0,5.4,7.0,2.0,9.7
48.487637,22.926027,EXERCISE_INCREASE,4.0,2.0,1,8.0,5.4,7.0,2.0,9.7
48.487637,15.581397,SCREEN_DECREASE,-1.0,9.7,1,9.7,5.4,7.0,2.0,9.7
48.487637,16.606396,SCREEN_DECREASE,-2.0,9.7,1,19.4,5.4,7.0,2.0,9.7
48.487637,15.620467,SCREEN_DECREASE,-3.0,9.7,1,29.099999999999998,5.4,7.0,2.0,9.7
48.487637,15.454509,SCREEN_DECREASE,-4.0,9.7,1,38.8,5.4,7.0,2.0,9.7
93.022224,-4.789468,SLEEP_INCREASE,0.5,7.8,0,3.9,7.8,9.0,1.0,7.4
93.022224,-4.634369,SLEEP_INCREASE,1.0,7.8,0,7.8,7.8,9.0,1.0,7.4
93.022224,-6.242416,SLEEP_INCREASE,1.5,7.8,0,11.7,7.8,9.0,1.0,7.4
93.022224,-6.957148,SLEEP_INCREASE,2.0,7.8,0,15.6,7.8,9.0,1.0,7.4
93.022224,-6.7141623,SLEEP_INCREASE,2.5,7.8,0,19.5,7.8,9.0,1.0,7.4
93.022224,-30.165712,STRESS_DECREASE,-1.0,9.0,1,9.0,7.8,9.0,1.0,7.4
93.022224,-21.350443,STRESS_DECREASE,-2.0,9.0,1,18.0,7.8,9.0,1.0,7.4
93.022224,-17.01232,STRESS_DECREASE,-3.0,9.0,1,27.0,7.8,9.0,1.0,7.4
93.022224,-16.644665,STRESS_DECREASE,-4.0,9.0,1,36.0,7.8,9.0,1.0,7.4
93.022224,-26.899878,EXERCISE_INCREASE,1.0,1.0,1,1.0,7.8,9.0,1.0,7.4
93.022224,-25.438967,EXERCISE_INCREASE,2.0,1.0,1,2.0,7.8,9.0,1.0,7.4
93.022224,-23.236233,EXERCISE_INCREASE,3.0,1.0,1,3.0,7.8,9.0,1.0,7.4
93.022224,-24.823236,EXERCISE_INCREASE,4.0,1.0,1,4.0,7.8,9.0,1.0,7.4
93.022224,-4.0882735,SCREEN_DECREASE,-1.0,7.4,0,7.4,7.8,9.0,1.0,7.4
93.022224,-4.0290513,SCREEN_DECREASE,-2.0,7.4,0,14.8,7.8,9.0,1.0,7.4
93.022224,-4.469457,SCREEN_DECREASE,-3.0,7.4,0,22.200000000000003,7.8,9.0,1.0,7.4
93.022224,-3.8540251,SCREEN_DECREASE,-4.0,7.4,0,29.6,7.8,9.0,1.0,7.4
88.51257,-3.8268344,SLEEP_INCREASE,0.5,9.8,0,4.9,9.8,4.0,0.0,2.3
88.51257,-3.6847668,SLEEP_INCREASE,1.0,9.8,0,9.8,9.8,4.0,0.0,2.3
88.51257,-3.6459384,SLEEP_INCREASE,1.5,9.8,0,14.700000000000001,9.8,4.0,0.0,2.3
88.51257,-3.5330925,SLEEP_INCREASE,2.0,9.8,0,19.6,9.8,4.0,0.0,2.3
88.51257,-3.4283402,SLEEP_INCREASE,2.5,9.8,0,24.5,9.8,4.0,0.0,2.3
88.51257,-1.0206875,STRESS_DECREASE,-1.0,4.0,0,4.0,9.8,4.0,0.0,2.3
88.51257,-0.99966973,STRESS_DECREASE,-2.0,4.0,0,8.0,9.8,4.0,0.0,2.3
88.51257,-1.11804,STRESS_DECREASE,-3.0,4.0,0,12.0,9.8,4.0,0.0,2.3
88.51257,-1.0924097,STRESS_DECREASE,-4.0,4.0,0,16.0,9.8,4.0,0.0,2.3
